#  r   z    drift_time (t90)
  12   3   99.2
  12   4   99.8
  12   5  108.9
  12   6  117.7
  12   7  126.8
  12   8  136.7
  12   9  147.2
  12  10  158.1
  12  11  169.9
  12  12  185.7
  12  13  198.7
  12  14  215.3
  12  15  229.8
  12  16  247.2
  12  17  265.1
  12  18  282.9
  12  19  300.4
  12  20  318.9
  12  21  338.1
  12  22  357.5
  12  23  377.3
  12  24  397.3
  12  25  417.5
  12  26  437.7
  12  27  458.1
  12  28  478.3
  12  29  498.5
  12  30  518.5
  12  31  538.5
  12  32  558.3
  12  33  578.0
  12  34  597.4
  12  35  616.7
  12  36  635.8
  12  37  654.8
  12  38  673.5
  12  39  691.7
  12  40  709.3
  12  41  727.1
  12  42  745.0
  12  43  762.5
  12  44  779.0
  12  45  795.9
  12  46  812.8
  12  47  828.3
  12  48  844.5
  12  49  859.7
  12  50  875.0
  13   0  101.4
  13   1   99.3
  13   2   99.8
  13   3  107.3
  13   4  109.4
  13   5  118.4
  13   6  127.6
  13   7  137.1
  13   8  147.0
  13   9  157.5
  13  10  168.8
  13  11  182.8
  13  12  196.5
  13  13  209.8
  13  14  226.2
  13  15  242.3
  13  16  258.2
  13  17  276.1
  13  18  294.3
  13  19  312.4
  13  20  330.5
  13  21  349.3
  13  22  368.6
  13  23  388.2
  13  24  408.2
  13  25  428.3
  13  26  448.5
  13  27  468.8
  13  28  489.0
  13  29  509.2
  13  30  529.2
  13  31  549.0
  13  32  568.7
  13  33  588.1
  13  34  607.5
  13  35  626.7
  13  36  645.7
  13  37  664.6
  13  38  683.2
  13  39  701.2
  13  40  718.8
  13  41  736.6
  13  42  754.6
  13  43  772.0
  13  44  788.6
  13  45  805.6
  13  46  822.5
  13  47  838.1
  13  48  854.4
  13  49  869.7
  13  50  885.2
  14   0  110.4
  14   1  109.6
  14   2  113.7
  14   3  117.7
  14   4  122.7
  14   5  128.9
  14   6  138.0
  14   7  147.6
  14   8  157.8
  14   9  168.6
  14  10  180.6
  14  11  195.0
  14  12  207.7
  14  13  223.1
  14  14  237.6
  14  15  254.5
  14  16  270.0
  14  17  287.5
  14  18  305.8
  14  19  324.3
  14  20  343.0
  14  21  361.8
  14  22  380.7
  14  23  400.0
  14  24  419.9
  14  25  440.0
  14  26  460.3
  14  27  480.6
  14  28  500.7
  14  29  520.8
  14  30  540.6
  14  31  560.2
  14  32  579.7
  14  33  599.0
  14  34  618.1
  14  35  637.1
  14  36  656.1
  14  37  674.8
  14  38  693.4
  14  39  711.4
  14  40  728.9
  14  41  746.7
  14  42  764.6
  14  43  782.1
  14  44  798.7
  14  45  815.8
  14  46  832.7
  14  47  848.5
  14  48  864.9
  14  49  880.4
  14  50  895.8
  15   0  123.6
  15   1  124.0
  15   2  126.3
  15   3  128.4
  15   4  136.0
  15   5  141.9
  15   6  149.4
  15   7  159.0
  15   8  169.3
  15   9  181.3
  15  10  194.4
  15  11  206.7
  15  12  219.6
  15  13  235.4
  15  14  249.7
  15  15  266.4
  15  16  283.6
  15  17  299.8
  15  18  317.7
  15  19  336.3
  15  20  355.2
  15  21  374.4
  15  22  393.8
  15  23  413.2
  15  24  432.9
  15  25  452.9
  15  26  473.0
  15  27  493.0
  15  28  513.1
  15  29  533.0
  15  30  552.7
  15  31  572.3
  15  32  591.7
  15  33  610.7
  15  34  629.4
  15  35  648.2
  15  36  666.9
  15  37  685.6
  15  38  704.1
  15  39  722.3
  15  40  739.6
  15  41  757.3
  15  42  775.1
  15  43  792.8
  15  44  809.4
  15  45  826.4
  15  46  843.5
  15  47  859.4
  15  48  875.8
  15  49  892.0
  15  50  907.0
  16   0  136.1
  16   1  136.5
  16   2  137.8
  16   3  141.3
  16   4  147.4
  16   5  155.7
  16   6  164.1
  16   7  173.3
  16   8  183.8
  16   9  195.0
  16  10  206.5
  16  11  218.7
  16  12  233.8
  16  13  247.5
  16  14  263.7
  16  15  278.7
  16  16  296.0
  16  17  313.8
  16  18  331.4
  16  19  349.1
  16  20  367.9
  16  21  387.0
  16  22  406.4
  16  23  425.9
  16  24  445.5
  16  25  465.4
  16  26  485.3
  16  27  505.3
  16  28  525.3
  16  29  545.1
  16  30  564.8
  16  31  584.4
  16  32  603.8
  16  33  622.9
  16  34  641.8
  16  35  660.0
  16  36  678.4
  16  37  696.9
  16  38  715.3
  16  39  733.5
  16  40  751.2
  16  41  768.4
  16  42  786.1
  16  43  803.8
  16  44  820.8
  16  45  837.5
  16  46  854.7
  16  47  871.3
  16  48  887.2
  16  49  903.7
  16  50  918.9
  17   0  148.1
  17   1  148.5
  17   2  150.1
  17   3  155.7
  17   4  159.6
  17   5  167.6
  17   6  176.5
  17   7  186.1
  17   8  196.3
  17   9  207.2
  17  10  218.9
  17  11  233.1
  17  12  246.4
  17  13  260.9
  17  14  276.4
  17  15  293.2
  17  16  309.0
  17  17  326.7
  17  18  345.1
  17  19  363.6
  17  20  382.2
  17  21  400.8
  17  22  419.6
  17  23  438.9
  17  24  458.4
  17  25  478.1
  17  26  498.0
  17  27  518.0
  17  28  537.9
  17  29  557.6
  17  30  577.2
  17  31  596.7
  17  32  616.0
  17  33  635.2
  17  34  654.1
  17  35  672.8
  17  36  690.9
  17  37  708.8
  17  38  726.9
  17  39  745.1
  17  40  763.1
  17  41  780.3
  17  42  797.6
  17  43  815.2
  17  44  832.8
  17  45  849.3
  17  46  866.3
  17  47  883.4
  17  48  899.3
  17  49  915.7
  17  50  931.9
  18   0  162.4
  18   1  163.0
  18   2  165.3
  18   3  168.0
  18   4  174.9
  18   5  181.2
  18   6  189.0
  18   7  198.5
  18   8  208.9
  18   9  220.4
  18  10  233.6
  18  11  246.2
  18  12  259.5
  18  13  275.2
  18  14  289.9
  18  15  306.5
  18  16  323.9
  18  17  340.7
  18  18  358.3
  18  19  376.8
  18  20  395.7
  18  21  414.9
  18  22  434.2
  18  23  453.6
  18  24  473.0
  18  25  492.5
  18  26  512.3
  18  27  532.1
  18  28  551.9
  18  29  571.5
  18  30  590.8
  18  31  609.9
  18  32  628.9
  18  33  647.8
  18  34  666.6
  18  35  685.3
  18  36  703.7
  18  37  721.8
  18  38  739.2
  18  39  757.1
  18  40  775.1
  18  41  792.9
  18  42  809.8
  18  43  827.1
  18  44  844.7
  18  45  862.0
  18  46  878.4
  18  47  895.5
  18  48  912.5
  18  49  928.2
  18  50  944.8
  19   0  176.5
  19   1  176.4
  19   2  178.0
  19   3  182.7
  19   4  187.5
  19   5  195.5
  19   6  204.2
  19   7  213.6
  19   8  224.0
  19   9  235.2
  19  10  246.9
  19  11  259.7
  19  12  274.8
  19  13  288.5
  19  14  304.9
  19  15  320.5
  19  16  337.3
  19  17  355.2
  19  18  373.3
  19  19  391.3
  19  20  409.4
  19  21  428.4
  19  22  447.6
  19  23  467.1
  19  24  486.6
  19  25  506.1
  19  26  525.8
  19  27  545.6
  19  28  565.4
  19  29  585.1
  19  30  604.7
  19  31  624.0
  19  32  643.1
  19  33  661.8
  19  34  679.9
  19  35  698.1
  19  36  716.4
  19  37  734.7
  19  38  752.7
  19  39  769.8
  19  40  787.4
  19  41  805.2
  19  42  822.9
  19  43  839.7
  19  44  857.0
  19  45  874.6
  19  46  891.7
  19  47  908.1
  19  48  925.3
  19  49  942.1
  19  50  957.9
  20   0  189.2
  20   1  189.7
  20   2  193.0
  20   3  196.3
  20   4  202.3
  20   5  208.5
  20   6  217.4
  20   7  227.0
  20   8  237.3
  20   9  248.5
  20  10  261.6
  20  11  275.0
  20  12  288.1
  20  13  303.9
  20  14  318.4
  20  15  335.3
  20  16  352.3
  20  17  368.8
  20  18  386.9
  20  19  405.6
  20  20  424.5
  20  21  443.6
  20  22  462.8
  20  23  482.1
  20  24  501.3
  20  25  520.5
  20  26  539.9
  20  27  559.5
  20  28  579.2
  20  29  598.8
  20  30  618.2
  20  31  637.5
  20  32  656.5
  20  33  675.5
  20  34  694.2
  20  35  712.5
  20  36  730.0
  20  37  747.7
  20  38  765.7
  20  39  783.6
  20  40  800.9
  20  41  818.0
  20  42  835.6
  20  43  853.3
  20  44  870.1
  20  45  887.3
  20  46  904.9
  20  47  922.1
  20  48  938.5
  20  49  955.6
  20  50  972.5
  21   0  204.9
  21   1  205.3
  21   2  206.9
  21   3  210.5
  21   4  216.5
  21   5  224.5
  21   6  232.8
  21   7  241.9
  21   8  252.6
  21   9  264.2
  21  10  276.0
  21  11  288.5
  21  12  303.6
  21  13  317.4
  21  14  333.9
  21  15  349.0
  21  16  366.3
  21  17  384.2
  21  18  402.0
  21  19  419.5
  21  20  438.3
  21  21  457.4
  21  22  476.7
  21  23  496.2
  21  24  515.8
  21  25  535.3
  21  26  554.9
  21  27  574.6
  21  28  594.3
  21  29  613.9
  21  30  633.3
  21  31  652.5
  21  32  671.2
  21  33  689.4
  21  34  707.8
  21  35  726.2
  21  36  744.5
  21  37  762.3
  21  38  779.3
  21  39  796.9
  21  40  814.6
  21  41  832.1
  21  42  848.9
  21  43  866.4
  21  44  884.1
  21  45  901.3
  21  46  918.1
  21  47  935.7
  21  48  953.2
  21  49  969.6
  21  50  986.6
  22   0  218.5
  22   1  219.1
  22   2  222.1
  22   3  225.8
  22   4  231.0
  22   5  237.8
  22   6  246.7
  22   7  256.2
  22   8  266.5
  22   9  277.6
  22  10  289.7
  22  11  304.1
  22  12  317.2
  22  13  332.8
  22  14  347.4
